29/11/2019 | 14:41:52 | Admin Pejca_Suarez | Igrac: Karlo_Zakhaew | Level Gamemasteraa: 1
30/11/2019 | 15:31:08 | Admin Carl | Igrac: Karlo_Zakhaew | Level Gamemastera: 0
30/11/2019 | 15:33:49 | Admin Carl | Igrac: Milan_Vasquez | Level Gamemastera: 2
30/11/2019 | 15:34:01 | Admin Carl | Igrac: Melaa_Mujkich | Level Gamemastera: 2
30/11/2019 | 17:22:21 | Admin Pejca_Suarez | Igrac: Ahmet_Castellano | Level Gamemastera: 2
30/11/2019 | 17:34:40 | Admin Fetzy | Igrac: Melaa_Mujkich | Level Gamemastera: 0
30/11/2019 | 17:36:05 | Admin Fetzy | Igrac: Melaa_Mujkich | Level Gamemasteraa: 1
30/11/2019 | 17:47:18 | Admin Pejca_Suarez | Igrac: Nemanja_Somax | Level Gamemasteraa: 1
30/11/2019 | 18:09:11 | Admin Fetzy | Igrac: Melaa_Mujkich | Level Gamemastera: 2
1/12/2019 | 10:10:55 | Admin Pejca_Suarez | Igrac: Itachi_Uchiha | Level Gamemasteraa: 1
1/12/2019 | 12:07:53 | Admin Pejca_Suarez | Igrac: Mirza_Kelic | Level Gamemastera: 2
1/12/2019 | 17:46:48 | Admin Mumitza_Ishtar | Igrac: Tica_Wilson | Level Gamemasteraa: 1
